rule,severity,Year,Line_Key,Intitule,detail
major_virement,medium,2021.0,1222006000-300-11-11-20,"Etudes liées à la construction, restauration, aménagement et extension des bâtiments administratifs",net virement = -77% of initial credits
major_virement,medium,2022.0,1222006000-300-11-11-20,"Etudes liées à la construction, restauration, aménagement et extension des bâtiments administratifs",net virement = -117% of initial credits
chronic_under_execution,medium,,1211006000-300-00-10-40,Rémunération des notaires et indemnités aux naïbs à délégation spéciale,"exec rate <30% in years [2021, 2022, 2023, 2024, 2025]"
chronic_under_execution,medium,,1211006000-300-00-10-50,Indemnités horaires pour travaux supplémentaires,"exec rate <30% in years [2021, 2022, 2023, 2024, 2025]"
chronic_under_execution,medium,,1211006000-300-00-10-62,Aide exceptionnelle au logement,"exec rate <30% in years [2021, 2022, 2023, 2024, 2025]"
chronic_under_execution,medium,,1211006000-300-00-10-64,Indemnités aux juges suppléants des juridictions communales et d'arrondissements,"exec rate <30% in years [2021, 2022, 2023, 2024, 2025]"
chronic_under_execution,medium,,1211006000-300-00-10-71,"Indemnités de caisse des regisseurs, billeteurs et payeurs délégués","exec rate <30% in years [2021, 2022, 2023, 2024, 2025]"
chronic_under_execution,medium,,1211006000-300-00-10-72,Gratifications aux chauffeurs,"exec rate <30% in years [2021, 2022, 2023, 2024, 2025]"
chronic_under_execution,medium,,1222006000-301-00-40-10,"Assistance technique, conseils et audit","exec rate <30% in years [2021, 2022, 2023, 2024, 2025]"
chronic_under_execution,medium,,1222006000-301-00-40-20,"Frais de formation, stage, conseil et assistance","exec rate <30% in years [2021, 2022, 2023, 2024, 2025]"
chronic_under_execution,medium,,1222006000-301-00-40-30,Assistance technique,"exec rate <30% in years [2021, 2022, 2023, 2024, 2025]"
high_volatility,low,,1212006000-300-00-10-11,Impôts et taxes,coefficient of variation = 0.70
high_volatility,low,,1212006000-300-00-10-13,Entretien et réparation des bâtiments administratifs,coefficient of variation = 0.76
high_volatility,low,,1212006000-300-00-10-16,"Achat d'outillage, de matériel, de fournitures et de produits pour le jardinage",coefficient of variation = 1.38
high_volatility,low,,1212006000-300-00-10-18,Frais d'autorisation de construire,coefficient of variation = 1.56
high_volatility,low,,1212006000-300-00-10-22,Entretien et réparation du mobilier et du matériel de bureau,coefficient of variation = 1.19
high_volatility,low,,1212006000-300-00-10-31,Frais de maintenance du matériel informatique et des logiciels,coefficient of variation = 0.63
high_volatility,low,,1212006000-300-00-10-33,Achat de fournitures pour matériel technique et informatique,coefficient of variation = 0.73
high_volatility,low,,1212006000-300-00-10-60,Achat de matériaux de construction,coefficient of variation = 0.62
high_volatility,low,,1212006000-300-00-20-11,Taxes et redevances de télécommunications,coefficient of variation = 0.91
high_volatility,low,,1212006000-300-00-20-12,Taxes postales et frais d'affranchissement,coefficient of variation = 1.04
high_volatility,low,,1212006000-300-00-20-15,Redevances d'eau,coefficient of variation = 0.65
high_volatility,low,,1212006000-300-00-20-16,Redevances d'électricité,coefficient of variation = 1.18
high_volatility,low,,1212006000-300-00-20-21,Frais d'entretien et de réparation des véhicules,coefficient of variation = 0.78
high_volatility,low,,1212006000-300-00-20-22,Achat de carburants et lubrifiants,coefficient of variation = 0.72
high_volatility,low,,1212006000-300-00-20-32,Frais de transport du personnel à l'étranger,coefficient of variation = 0.62
