Year,Line_Key,Chap,Prog,Reg,Proj,Lb,Depth,Level,Intitule,Credits_Ouverts_Vises,Total_Engage_Vises,Credits_Ouverts,Virements_Plus,Virements_Moins,Total_Credits,Total_Engage
2025,1212006000-300-00-10-15,,,,,15.0,5,Ligne,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",41324000,7458933.08,41324000.0,0.0,33479000.0,7845000.0,7458933.08
2026,1212006000-300-00-10-15,,,,,15.0,5,Ligne,"Frais de sécurité, gardiennage, nettoyage des bâtiments administratifs",41324000,1810861.76,41324000.0,0.0,27784000.0,13540000.0,1810861.76
2021,1212006000-300-00-10-16,,,,,16.0,5,Ligne,"Achat d'outillage, de matériel, de fournitures et de produits pour le jardinage",100000,189258.0,100000.0,191151.0,100000.0,191151.0,189258.0
2022,1212006000-300-00-10-16,,,,,16.0,5,Ligne,"Achat d'outillage, de matériel, de fournitures et de produits pour le jardinage",100000,151812.0,100000.0,53500.0,1600.0,151900.0,151812.0
2023,1212006000-300-00-10-16,,,,,16.0,5,Ligne,"Achat d'outillage, de matériel, de fournitures et de produits pour le jardinage",200000,0.0,200000.0,0.0,200000.0,0.0,0.0
2024,1212006000-300-00-10-16,,,,,16.0,5,Ligne,"Achat d'outillage, de matériel, de fournitures et de produits pour le jardinage",500000,0.0,500000.0,0.0,500000.0,0.0,0.0
2025,1212006000-300-00-10-16,,,,,16.0,5,Ligne,"Achat d'outillage, de matériel, de fournitures et de produits pour le jardinage",200000,0.0,200000.0,0.0,200000.0,0.0,0.0
2026,1212006000-300-00-10-16,,,,,16.0,5,Ligne,"Achat d'outillage, de matériel, de fournitures et de produits pour le jardinage",200000,0.0,200000.0,0.0,0.0,200000.0,0.0
2021,1212006000-300-00-10-17,,,,,17.0,5,Ligne,Entretien des espaces verts,3000000,1215926.64,3000000.0,385545.0,2142763.0,1242782.0,1215926.64
2022,1212006000-300-00-10-17,,,,,17.0,5,Ligne,Entretien des espaces verts,1000000,622093.78,1000000.0,18000.0,345600.0,672400.0,622093.78
2023,1212006000-300-00-10-17,,,,,17.0,5,Ligne,Entretien des espaces verts,1000000,1130400.26,1000000.0,140000.0,9570.0,1130430.0,1130400.26
